exchange,symbol,best_bid,best_bid_volume,best_ask,best_ask_volume,timestamp
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532463,0.03172974,2025-07-16T06:14:39.745297Z
BITFLYER,BTC_JPY,17546001,0.02987600,17555961,0.02000000,2025-07-16T06:14:39.747448Z
BITFLYER,BTC_JPY,17546001,0.02987600,17555961,0.02000000,2025-07-16T06:14:39.747627Z
BITFLYER,BTC_JPY,17546001,0.02987600,17555960,0.04491080,2025-07-16T06:14:39.747802Z
BITFLYER,BTC_JPY,17546017,0.00968780,17555958,0.02000000,2025-07-16T06:14:39.747989Z
BITFLYER,BTC_JPY,17546017,0.00968780,17555958,0.02000000,2025-07-16T06:14:39.748282Z
BITFLYER,BTC_JPY,17553007,0.05505455,17555955,0.02000000,2025-07-16T06:14:39.754554Z
BITFLYER,BTC_JPY,17553007,0.05505455,17555955,0.02000000,2025-07-16T06:14:39.755566Z
BITFLYER,BTC_JPY,17553007,0.05505455,17555955,0.02000000,2025-07-16T06:14:39.755880Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532463,0.03172974,2025-07-16T06:14:39.756480Z
BITFLYER,BTC_JPY,17553007,0.05505455,17555955,0.02000000,2025-07-16T06:14:39.756902Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17529655,0.02000000,2025-07-16T06:14:39.758230Z
BITFLYER,BTC_JPY,17553007,0.05505455,17555954,0.05853630,2025-07-16T06:14:39.758834Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532345,0.01500000,2025-07-16T06:14:39.759287Z
BITFLYER,BTC_JPY,17553007,0.05505455,17555952,0.02000000,2025-07-16T06:14:39.760421Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532344,0.05510000,2025-07-16T06:14:39.760839Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553442,0.35000000,2025-07-16T06:14:39.761086Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532184,0.03000000,2025-07-16T06:14:39.761488Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553442,0.35000000,2025-07-16T06:14:39.761672Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532184,0.03000000,2025-07-16T06:14:39.762059Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553442,0.35000000,2025-07-16T06:14:39.762305Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532259,0.01500000,2025-07-16T06:14:39.762546Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553441,0.01337580,2025-07-16T06:14:39.762966Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532259,0.01500000,2025-07-16T06:14:39.763256Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553441,0.01337580,2025-07-16T06:14:39.763437Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532259,0.01500000,2025-07-16T06:14:39.763711Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553440,0.02731717,2025-07-16T06:14:39.763898Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532259,0.01500000,2025-07-16T06:14:39.766810Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553440,0.02731717,2025-07-16T06:14:39.767487Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532066,0.03000000,2025-07-16T06:14:39.767746Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532066,0.03000000,2025-07-16T06:14:39.768185Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553439,0.01337580,2025-07-16T06:14:39.768650Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532066,0.03000000,2025-07-16T06:14:39.769332Z
BITFLYER,BTC_JPY,17553007,0.05505455,17553439,0.01337580,2025-07-16T06:14:39.769513Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.00172974,2025-07-16T06:14:39.774830Z
BITFLYER,BTC_JPY,17553007,0.04645228,17553438,0.02697432,2025-07-16T06:14:39.775112Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.00172974,2025-07-16T06:14:39.775367Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.00172974,2025-07-16T06:14:39.795359Z
BITFLYER,BTC_JPY,17553007,0.04645228,17553437,0.01337580,2025-07-16T06:14:39.866989Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.00172974,2025-07-16T06:14:39.915419Z
BITFLYER,BTC_JPY,17553007,0.04645228,17553437,0.01337580,2025-07-16T06:14:40.004788Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.00172974,2025-07-16T06:14:40.046186Z
BITFLYER,BTC_JPY,17553007,0.04645228,17553436,0.02660125,2025-07-16T06:14:40.142034Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.00172974,2025-07-16T06:14:40.148282Z
BITFLYER,BTC_JPY,17553007,0.04645228,17553436,0.02660125,2025-07-16T06:14:40.337112Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.00172974,2025-07-16T06:14:40.338132Z
BITFLYER,BTC_JPY,17553007,0.04645228,17555392,0.03930216,2025-07-16T06:14:40.383981Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.00172974,2025-07-16T06:14:40.480610Z
BITFLYER,BTC_JPY,17553007,0.04645228,17553435,0.01337580,2025-07-16T06:14:40.507488Z
BITFLYER,BTC_JPY,17553007,0.04645228,17553435,0.01337580,2025-07-16T06:14:40.628202Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.03172974,2025-07-16T06:14:40.638477Z
BITFLYER,BTC_JPY,17553007,0.04645228,17555391,0.01337580,2025-07-16T06:14:40.755249Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532056,0.03000000,2025-07-16T06:14:40.781892Z
BITFLYER,BTC_JPY,17553007,0.04645228,17555391,0.01337580,2025-07-16T06:14:40.896522Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532051,0.00172974,2025-07-16T06:14:40.927470Z
BITFLYER,BTC_JPY,17553007,0.04645228,17555390,0.03860250,2025-07-16T06:14:41.012054Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532051,0.00172974,2025-07-16T06:14:41.080159Z
BITFLYER,BTC_JPY,17553007,0.04645228,17555390,0.03860250,2025-07-16T06:14:41.182154Z
BITFLYER,FX_BTC_JPY,17530693,0.02805480,17532051,0.00172974,2025-07-16T06:14:41.187127Z
BITFLYER,FX_BTC_JPY,17529700,0.05000000,17532051,0.00172974,2025-07-16T06:14:41.271673Z
BITFLYER,FX_BTC_JPY,17529700,0.05000000,17532051,0.00172974,2025-07-16T06:14:41.311374Z
BITFLYER,BTC_JPY,17553007,0.04645228,17555389,0.01337580,2025-07-16T06:14:41.314717Z
BITFLYER,FX_BTC_JPY,17529700,0.05000000,17532051,0.00172974,2025-07-16T06:14:41.427297Z
BITFLYER,BTC_JPY,17553007,0.04645228,17555389,0.01337580,2025-07-16T06:14:41.452905Z
BITFLYER,FX_BTC_JPY,17529700,0.05000000,17532051,0.00172974,2025-07-16T06:14:41.566283Z
BITFLYER,BTC_JPY,17553007,0.04645228,17555388,0.03463849,2025-07-16T06:14:41.582645Z
GMO,BTC,17560000,0.01191000,17560950,0.10000000,2025-07-16T06:14:41.712679Z
GMO,BTC,17555780,0.00500000,17560949,0.06806000,2025-07-16T06:14:41.719659Z
GMO,BTC,17560000,0.00001000,17560900,0.10000000,2025-07-16T06:14:41.731173Z
GMO,BTC,17560000,0.00001000,17560501,0.05000000,2025-07-16T06:14:41.731473Z
GMO,BTC,17560000,0.00001000,17560499,0.05000000,2025-07-16T06:14:41.731649Z
GMO,BTC,17560000,0.00001000,17560001,0.05000000,2025-07-16T06:14:41.733130Z
GMO,BTC,17555780,0.01000000,17560001,0.10000000,2025-07-16T06:14:41.734383Z
GMO,BTC,17555780,0.01000000,17560001,0.20000000,2025-07-16T06:14:41.734484Z
GMO,BTC,17555780,0.01000000,17560001,0.20000000,2025-07-16T06:14:41.734578Z
GMO,BTC,17555780,0.01000000,17559999,0.06806000,2025-07-16T06:14:41.734676Z
GMO,BTC_JPY,17526301,0.02000000,17530085,0.02000000,2025-07-16T06:14:41.734767Z
GMO,BTC,17554325,0.00056000,17559999,0.06806000,2025-07-16T06:14:41.734855Z
GMO,BTC_JPY,17525497,0.01200000,17529482,0.02000000,2025-07-16T06:14:41.734942Z
GMO,BTC_JPY,17525497,0.01200000,17529906,0.02000000,2025-07-16T06:14:41.735029Z
GMO,BTC,17554350,0.10000000,17559950,0.10000000,2025-07-16T06:14:41.735113Z
GMO,BTC_JPY,17525721,0.02000000,17529550,0.02000000,2025-07-16T06:14:41.735611Z
BITFLYER,FX_BTC_JPY,17529231,0.00100000,17532051,0.00172974,2025-07-16T06:14:41.760063Z
BITFLYER,BTC_JPY,17550000,0.02170000,17552863,0.30354772,2025-07-16T06:14:41.760188Z
BITFLYER,BTC_JPY,17550000,0.02170000,17552863,0.30354772,2025-07-16T06:14:41.822034Z
BITFLYER,FX_BTC_JPY,17529516,0.05000000,17532051,0.00172974,2025-07-16T06:14:41.840269Z
BITFLYER,BTC_JPY,17550000,0.02170000,17552862,0.01337580,2025-07-16T06:14:41.946801Z
BITFLYER,FX_BTC_JPY,17529516,0.05000000,17532051,0.00172974,2025-07-16T06:14:41.947262Z
GMO,BTC,17554350,0.10000000,17559949,0.06806000,2025-07-16T06:14:42.035823Z
