exchange,symbol,trade_id,price,size,side,timestamp,created_at
BITFLYER,FX_BTC_JPY,BITFLYER-2609091882,17585433,0.05000000,SELL,2025-07-16T07:00:00.305896400Z,2025-07-16T07:00:00.353900
BITFLYER,FX_BTC_JPY,BITFLYER-2609091883,17585058,0.00100000,SELL,2025-07-16T07:00:00.596281600Z,2025-07-16T07:00:00.621664
BITFLYER,FX_BTC_JPY,BITFLYER-2609091884,17584348,0.03000000,SELL,2025-07-16T07:00:00.669880300Z,2025-07-16T07:00:00.736152
BITFLYER,FX_BTC_JPY,BITFLYER-2609091885,17584335,0.02300000,BUY,2025-07-16T07:00:00.910759200Z,2025-07-16T07:00:00.927904
BITFLYER,FX_BTC_JPY,BITFLYER-2609091886,17584335,0.00100000,BUY,2025-07-16T07:00:00.910759200Z,2025-07-16T07:00:00.965086
BITFLYER,FX_BTC_JPY,BITFLYER-2609091887,17584335,0.00333253,BUY,2025-07-16T07:00:01.088151400Z,2025-07-16T07:00:01.102698
BITFLYER,FX_BTC_JPY,BITFLYER-2609091888,17584434,0.02066747,BUY,2025-07-16T07:00:01.088151400Z,2025-07-16T07:00:01.102822
BITFLYER,FX_BTC_JPY,BITFLYER-2609091889,17584334,0.03411926,BUY,2025-07-16T07:00:01.271873900Z,2025-07-16T07:00:01.283195
BITFLYER,FX_BTC_JPY,BITFLYER-2609091890,17584085,0.00100000,BUY,2025-07-16T07:00:02.134071200Z,2025-07-16T07:00:02.174413
GMO,BTC,GMO-1752649205523,17606052,0.00004000,BUY,2025-07-16T07:00:05.528Z,2025-07-16T07:00:05.523309
GMO,BTC,GMO-1752649205523,17606052,0.00004000,SELL,2025-07-16T07:00:05.528Z,2025-07-16T07:00:05.523346
GMO,BTC_JPY,GMO-1752649207011,17585565,0.00500000,BUY,2025-07-16T07:00:07.024Z,2025-07-16T07:00:07.011699
GMO,BTC_JPY,GMO-1752649207011,17585565,0.00500000,SELL,2025-07-16T07:00:07.024Z,2025-07-16T07:00:07.011749
BITFLYER,FX_BTC_JPY,BITFLYER-2609091891,17583869,0.03000000,SELL,2025-07-16T07:00:07.520107800Z,2025-07-16T07:00:07.565048
BITFLYER,FX_BTC_JPY,BITFLYER-2609091892,17584254,0.00111000,BUY,2025-07-16T07:00:07.838748400Z,2025-07-16T07:00:07.866141
BITFLYER,FX_BTC_JPY,BITFLYER-2609091893,17585001,0.00889000,BUY,2025-07-16T07:00:07.838748400Z,2025-07-16T07:00:07.866219
GMO,BTC_JPY,GMO-1752649208296,17580649,0.00500000,SELL,2025-07-16T07:00:08.306Z,2025-07-16T07:00:08.296078
GMO,BTC_JPY,GMO-1752649208296,17580649,0.00500000,BUY,2025-07-16T07:00:08.306Z,2025-07-16T07:00:08.296136
GMO,BTC_JPY,GMO-1752649208513,17580001,0.01000000,SELL,2025-07-16T07:00:08.514Z,2025-07-16T07:00:08.513397
GMO,BTC_JPY,GMO-1752649208513,17580001,0.01000000,BUY,2025-07-16T07:00:08.514Z,2025-07-16T07:00:08.513439
GMO,BTC_JPY,GMO-1752649208517,17580001,0.00100000,SELL,2025-07-16T07:00:08.514Z,2025-07-16T07:00:08.517568
GMO,BTC_JPY,GMO-1752649208517,17580001,0.00100000,BUY,2025-07-16T07:00:08.514Z,2025-07-16T07:00:08.517616
GMO,BTC_JPY,GMO-1752649208517,17580000,0.00900000,SELL,2025-07-16T07:00:08.514Z,2025-07-16T07:00:08.517647
GMO,BTC_JPY,GMO-1752649208517,17580000,0.00900000,BUY,2025-07-16T07:00:08.514Z,2025-07-16T07:00:08.517681
BITFLYER,FX_BTC_JPY,BITFLYER-2609091894,17582097,0.00100000,SELL,2025-07-16T07:00:08.512287600Z,2025-07-16T07:00:08.537829
BITFLYER,FX_BTC_JPY,BITFLYER-2609091895,17582096,0.00600000,SELL,2025-07-16T07:00:08.512287600Z,2025-07-16T07:00:08.537847
GMO,BTC_JPY,GMO-1752649208552,17580000,0.04100000,SELL,2025-07-16T07:00:08.560Z,2025-07-16T07:00:08.552732
GMO,BTC_JPY,GMO-1752649208552,17580000,0.04100000,BUY,2025-07-16T07:00:08.560Z,2025-07-16T07:00:08.552782
