exchange,symbol,trade_id,price,size,side,timestamp,created_at
BITFLYER,FX_BTC_JPY,BITFLYER-2609077430,17588011,0.00600000,SELL,2025-07-16T05:12:27.563270700Z,2025-07-16T05:12:27.587034
BITFLYER,FX_BTC_JPY,BITFLYER-2609077431,17586817,0.02400000,SELL,2025-07-16T05:12:27.563270700Z,2025-07-16T05:12:27.587080
BITFLYER,BTC_JPY,BITFLYER-2609078955,17599750,0.00100000,BUY,2025-07-16T05:12:27.698382900Z,2025-07-16T05:12:27.773361
BITFLYER,BTC_JPY,BITFLYER-2609078956,17599897,0.00322895,BUY,2025-07-16T05:12:27.698382900Z,2025-07-16T05:12:27.773449
BITFLYER,FX_BTC_JPY,BITFLYER-2609077432,17588619,0.00600000,BUY,2025-07-16T05:12:28.088703100Z,2025-07-16T05:12:28.120249
BITFLYER,FX_BTC_JPY,BITFLYER-2609077433,17589957,0.01900000,BUY,2025-07-16T05:12:28.088703100Z,2025-07-16T05:12:28.120314
BITFLYER,FX_BTC_JPY,BITFLYER-2609077434,17590047,0.02130000,BUY,2025-07-16T05:12:28.088703100Z,2025-07-16T05:12:28.120368
BITFLYER,FX_BTC_JPY,BITFLYER-2609077435,17590047,0.05370000,BUY,2025-07-16T05:12:28.088703100Z,2025-07-16T05:12:28.120426
BITFLYER,BTC_JPY,BITFLYER-2609078958,17599990,0.00200019,BUY,2025-07-16T05:12:29.001480500Z,2025-07-16T05:12:29.065007
BITFLYER,FX_BTC_JPY,BITFLYER-2609077436,17588061,0.00600000,SELL,2025-07-16T05:12:30.169981100Z,2025-07-16T05:12:30.193913
BITFLYER,FX_BTC_JPY,BITFLYER-2609077437,17587000,0.00100000,BUY,2025-07-16T05:12:32.381030200Z,2025-07-16T05:12:32.413287
BITFLYER,FX_BTC_JPY,BITFLYER-2609077438,17587000,0.05580000,BUY,2025-07-16T05:12:32.815359400Z,2025-07-16T05:12:32.842412
BITFLYER,FX_BTC_JPY,BITFLYER-2609077439,17587000,0.00006245,BUY,2025-07-16T05:12:33.122984100Z,2025-07-16T05:12:33.146795
BITFLYER,BTC_JPY,BITFLYER-2609078975,17598400,0.02500000,BUY,2025-07-16T05:12:42.198134100Z,2025-07-16T05:12:42.302018
BITFLYER,BTC_JPY,BITFLYER-2609078998,17598500,0.03800000,BUY,2025-07-16T05:12:47.729948100Z,2025-07-16T05:12:47.790924
BITFLYER,FX_BTC_JPY,BITFLYER-2609077440,17587897,0.00100000,SELL,2025-07-16T05:12:49.644054Z,2025-07-16T05:12:49.679242
GMO,BTC_JPY,GMO-1752642770272,17581581,0.00700000,SELL,2025-07-16T05:12:50.272Z,2025-07-16T05:12:50.272223
