exchange,symbol,best_bid,best_bid_volume,best_ask,best_ask_volume,timestamp
BITFLYER,FX_BTC_JPY,17586850,0.03000000,17588580,0.10000000,2025-07-16T05:12:27.482842Z
BITFLYER,BTC_JPY,17591454,0.01101760,17600738,0.02779712,2025-07-16T05:12:27.485171Z
BITFLYER,BTC_JPY,17591454,0.01101760,17600738,0.02779712,2025-07-16T05:12:27.485438Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599897,0.02000000,2025-07-16T05:12:27.485668Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599897,0.02000000,2025-07-16T05:12:27.485831Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599897,0.02000000,2025-07-16T05:12:27.485999Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599750,0.00100000,2025-07-16T05:12:27.488312Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599750,0.00100000,2025-07-16T05:12:27.489103Z
BITFLYER,FX_BTC_JPY,17586850,0.03000000,17590047,0.09230000,2025-07-16T05:12:27.490351Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599750,0.00100000,2025-07-16T05:12:27.490568Z
BITFLYER,FX_BTC_JPY,17586850,0.03000000,17590047,0.09230000,2025-07-16T05:12:27.491023Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599750,0.00100000,2025-07-16T05:12:27.491163Z
BITFLYER,FX_BTC_JPY,17586850,0.03000000,17590047,0.09230000,2025-07-16T05:12:27.491359Z
BITFLYER,FX_BTC_JPY,17586850,0.03000000,17589966,0.01500000,2025-07-16T05:12:27.492120Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599750,0.00100000,2025-07-16T05:12:27.492305Z
BITFLYER,FX_BTC_JPY,17588103,0.00600000,17589966,0.01500000,2025-07-16T05:12:27.492515Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599750,0.00100000,2025-07-16T05:12:27.492627Z
BITFLYER,FX_BTC_JPY,17588103,0.00600000,17589966,0.01500000,2025-07-16T05:12:27.492798Z
BITFLYER,BTC_JPY,17591468,0.00966280,17599750,0.00100000,2025-07-16T05:12:27.492912Z
